customer_id,product_id,basket_date,basket_count
42366585,41475073,19-06-2019,2
35956841,43279538,19-06-2019,2
26139578,31715598,19-06-2019,3
3262253,47880260,19-06-2019,2
20056678,44747002,19-06-2019,2
32037116,33739394,19-06-2019,2
17565651,46000191,19-06-2019,2
42079380,46881033,19-06-2019,2
25533477,44752779,19-06-2019,2
10385144,41882886,19-06-2019,2
5216868,8670770,19-06-2019,6
9036689,33914921,19-06-2019,2
20265792,46026447,19-06-2019,2
34654104,3632762,19-06-2019,2
31159555,33218001,19-06-2019,2
31733002,5941180,18-06-2019,2
44025439,34631629,18-06-2019,2
1920107,46675683,18-06-2019,2
13374538,33276794,18-06-2019,2
12434467,7445901,18-06-2019,2
25371082,39475547,18-06-2019,2
2068361,42402177,18-06-2019,2
28204561,39058017,18-06-2019,3
44417560,43864701,18-06-2019,2
29215183,32356464,18-06-2019,2
11360880,47007182,18-06-2019,2
22068103,35420610,17-06-2019,2
6056954,42522846,17-06-2019,2
13535048,43812675,17-06-2019,2
28048336,48333960,17-06-2019,2
7950100,42478659,17-06-2019,2
8928341,1197926,17-06-2019,2
34368983,37145767,17-06-2019,2
11259103,37720451,17-06-2019,2
31493048,38221381,17-06-2019,2
43213385,4131698,17-06-2019,2
43352582,43357885,17-06-2019,2
2966006,33028204,17-06-2019,2
3779615,51605574,17-06-2019,2
31616251,50615765,17-06-2019,2
44416693,40276068,17-06-2019,2
2809135,6568127,17-06-2019,2
520652,46455283,17-06-2019,2
13418756,34366102,17-06-2019,2
16289848,40220752,17-06-2019,2
23460100,6844409,17-06-2019,2
40411726,2129027,17-06-2019,2
21159636,47608896,17-06-2019,2
12375065,38963117,17-06-2019,2
3343477,50416775,17-06-2019,2
43569820,47019441,17-06-2019,2
20861832,47122587,17-06-2019,2
42996398,31508759,18-06-2019,2
14792714,37621862,18-06-2019,2
11257276,47007182,17-06-2019,2
23878579,34944273,17-06-2019,2
11350951,44263141,17-06-2019,2
42823122,49953830,17-06-2019,2
15335022,31294046,17-06-2019,2
19138173,40276011,17-06-2019,2
28655652,49817430,17-06-2019,2
1599046,32556376,17-06-2019,2
27450196,35008370,17-06-2019,2
42541854,50041873,17-06-2019,2
2090140,48346739,17-06-2019,2
43043252,33712748,17-06-2019,2
8917417,1068944,17-06-2019,2
7751651,46500920,16-06-2019,3
23462918,6259159,16-06-2019,2
44095389,33875067,16-06-2019,2
44364979,32942036,16-06-2019,2
9912477,31299289,16-06-2019,2
25083717,31546667,16-06-2019,3
20362680,46858785,16-06-2019,2
40228358,42723219,16-06-2019,2
17922308,926270,16-06-2019,2
27641594,33506465,16-06-2019,3
4749863,33354168,16-06-2019,3
34508812,40276068,16-06-2019,2
44382631,43314126,16-06-2019,2
10095537,47933392,16-06-2019,2
9567372,51821712,17-06-2019,2
11344926,47057070,16-06-2019,2
1357108,43902407,16-06-2019,2
9116458,49693345,16-06-2019,2
2499367,1263722,16-06-2019,2
2153897,51042056,16-06-2019,2
16974894,339429,16-06-2019,2
10918767,3257032,16-06-2019,2
44363986,39024454,16-06-2019,2
27021765,3549934,16-06-2019,2
33060425,34927870,16-06-2019,2
29196935,43864288,16-06-2019,2
17572286,36308101,16-06-2019,2
14997362,31324877,16-06-2019,2
34658130,50350530,16-06-2019,2
40934891,2565792,16-06-2019,2
31480906,6102908,16-06-2019,2
18454467,50803208,16-06-2019,2
3846865,3125977,16-06-2019,2
1227904,43482185,16-06-2019,3
10458906,3714100,16-06-2019,2
1070869,46130148,16-06-2019,2
28037137,34981913,16-06-2019,2
20098151,35167685,16-06-2019,2
16049544,53560311,16-06-2019,2
12376998,50836009,16-06-2019,3
32756438,53035093,16-06-2019,2
3460147,50436075,16-06-2019,2
31600282,31780330,16-06-2019,2
15177298,2963490,16-06-2019,2
33513547,5995368,16-06-2019,2
5226041,46134461,16-06-2019,2
29697847,44767226,16-06-2019,2
943919,37215955,16-06-2019,2
29462763,35191492,16-06-2019,2
25752881,36481470,16-06-2019,2
10673417,86003,16-06-2019,2
10673417,39648211,16-06-2019,2
33650865,50462654,16-06-2019,2
10702365,49226769,16-06-2019,2
13483322,54592777,16-06-2019,2
14571889,32570198,15-06-2019,2
11222196,34642271,16-06-2019,2
2429391,31540074,16-06-2019,2
21354334,34081119,15-06-2019,2
11608660,47639646,15-06-2019,2
29816325,42244011,15-06-2019,3
14953708,49860049,15-06-2019,3
28758609,35545522,15-06-2019,2
43486119,44146315,15-06-2019,2
8842411,44471280,15-06-2019,2
2118687,38270608,15-06-2019,2
2118687,32586402,15-06-2019,2
38547897,32792042,15-06-2019,2
6527616,44267470,15-06-2019,2
13943634,31884711,15-06-2019,2
40802277,38950239,15-06-2019,2
42884718,34035848,15-06-2019,2
4810556,33781223,15-06-2019,2
26633229,33028936,15-06-2019,3
27507650,4915558,15-06-2019,3
10974747,2864832,15-06-2019,2
43594568,31614416,15-06-2019,2
13635398,5977588,15-06-2019,2
23424372,40455682,15-06-2019,2
4950885,46072637,15-06-2019,2
31041476,35810906,15-06-2019,2
6945297,37758603,15-06-2019,2
3492878,50116869,15-06-2019,2
10872901,39845663,15-06-2019,2
5932302,34859104,15-06-2019,2
4897641,34525548,15-06-2019,2
